Disease,Symptoms,Severity
Common Cold,"nasal congestion,runny nose,fatigue,sneezing,sore throat,mild fever,headache",Low
Common Cold,"sore throat,fatigue,nasal congestion,runny nose,sneezing",Low
Common Cold,"cough,fatigue,sore throat,nasal congestion,runny nose,headache,sneezing",Low
Common Cold,"runny nose,mild fever,headache,cough,sore throat,sneezing,fatigue,nasal congestion",Low
Common Cold,"sneezing,mild fever,sore throat,fatigue,runny nose",Low
Influenza,"high fever,sore throat,body ache,fatigue,chills",Medium
Influenza,"loss of appetite,body ache,chills,high fever",Medium
Influenza,"loss of appetite,cough,headache,body ache,fatigue,chills,high fever,sore throat",Medium
Influenza,"chills,high fever,loss of appetite,body ache",Medium
Influenza,"high fever,sore throat,chills,loss of appetite,fatigue,cough,body ache",Medium
Influenza,"headache,body ache,cough,fatigue,sore throat,chills,high fever,loss of appetite",Medium
Influenza,"loss of appetite,chills,high fever,headache,body ache",Medium
Influenza,"chills,cough,body ache,high fever",Medium
Influenza,"body ache,chills,fatigue,high fever",Medium
Influenza,"high fever,chills,body ache,loss of appetite",Medium
Influenza,"chills,high fever,fatigue,body ache",Medium
Influenza,"headache,body ache,high fever,chills,sore throat",Medium
Influenza,"body ache,high fever,chills,loss of appetite",Medium
Influenza,"headache,loss of appetite,high fever,chills,fatigue,sore throat,body ache",Medium
Influenza,"loss of appetite,fatigue,sore throat,cough,high fever,chills,headache,body ache",Medium
Influenza,"headache,chills,high fever,body ache",Medium
Influenza,"cough,chills,high fever,loss of appetite,fatigue,body ache,sore throat",Medium
Influenza,"headache,body ache,high fever,sore throat,cough,chills",Medium
Influenza,"chills,sore throat,body ache,loss of appetite,cough,high fever",Medium
Influenza,"body ache,loss of appetite,cough,high fever,chills,fatigue,sore throat,headache",Medium
Influenza,"chills,high fever,body ache,sore throat",Medium
Influenza,"body ache,high fever,chills,cough,loss of appetite",Medium
Influenza,"fatigue,high fever,body ache,chills",Medium
Influenza,"chills,body ache,high fever,cough",Medium
Influenza,"high fever,fatigue,body ache,chills,sore throat",Medium
Influenza,"high fever,chills,loss of appetite,sore throat,headache,body ache,cough",Medium
Influenza,"cough,headache,loss of appetite,high fever,chills,body ache",Medium
Influenza,"high fever,chills,body ache,loss of appetite,cough,sore throat",Medium
Influenza,"high fever,fatigue,body ache,headache,chills",Medium
Influenza,"cough,high fever,chills,loss of appetite,body ache",Medium
Influenza,"fatigue,chills,high fever,body ache",Medium
Influenza,"high fever,chills,fatigue,body ache,sore throat",Medium
Influenza,"fatigue,chills,high fever,cough,sore throat,headache,loss of appetite,body ache",Medium
Influenza,"body ache,high fever,headache,cough,chills,loss of appetite",Medium
Influenza,"headache,high fever,cough,chills,body ache,sore throat",Medium
Influenza,"loss of appetite,fatigue,chills,sore throat,body ache,high fever,cough",Medium
Influenza,"body ache,fatigue,high fever,cough,loss of appetite,chills,sore throat",Medium
Influenza,"headache,chills,high fever,cough,body ache,sore throat,loss of appetite",Medium
Influenza,"fatigue,high fever,body ache,sore throat,chills",Medium
Influenza,"body ache,headache,chills,loss of appetite,high fever",Medium
Influenza,"body ache,high fever,sore throat,chills",Medium
Influenza,"cough,chills,high fever,sore throat,body ache",Medium
Influenza,"body ache,cough,chills,high fever",Medium
Influenza,"fatigue,high fever,body ache,loss of appetite,chills,headache,cough,sore throat",Medium
Influenza,"body ache,chills,headache,sore throat,high fever,fatigue,cough",Medium
Influenza,"chills,sore throat,body ache,high fever",Medium
Influenza,"high fever,loss of appetite,sore throat,cough,chills,headache,body ache,fatigue",Medium
Influenza,"sore throat,cough,fatigue,chills,loss of appetite,body ache,high fever",Medium
Influenza,"sore throat,fatigue,chills,cough,headache,body ache,loss of appetite,high fever",Medium
Influenza,"high fever,chills,body ache,sore throat,headache",Medium
COVID-19,"fever,sore throat,fatigue,loss of smell,dry cough",High
COVID-19,"fatigue,dry cough,headache,loss of taste,shortness of breath,fever,loss of smell,sore throat",High
COVID-19,"fatigue,fever,sore throat,headache,shortness of breath,dry cough,loss of smell,loss of taste",High
COVID-19,"dry cough,headache,fever,shortness of breath,loss of smell",High
COVID-19,"loss of taste,shortness of breath,sore throat,headache,fatigue,fever,loss of smell,dry cough",High
COVID-19,"shortness of breath,headache,loss of smell,dry cough,fever",High
COVID-19,"sore throat,headache,loss of taste,fever,loss of smell,fatigue,dry cough",High
COVID-19,"fatigue,dry cough,headache,loss of taste,shortness of breath,fever,sore throat,loss of smell",High
COVID-19,"dry cough,sore throat,fever,loss of smell,shortness of breath",High
COVID-19,"loss of smell,dry cough,fatigue,shortness of breath,fever,headache",High
COVID-19,"fatigue,fever,dry cough,loss of smell,loss of taste",High
COVID-19,"headache,dry cough,shortness of breath,sore throat,fatigue,fever,loss of smell",High
COVID-19,"fatigue,fever,dry cough,loss of smell,shortness of breath,loss of taste",High
COVID-19,"loss of smell,headache,shortness of breath,dry cough,sore throat,fatigue,fever",High
COVID-19,"loss of smell,dry cough,sore throat,fever",High
COVID-19,"fever,sore throat,fatigue,shortness of breath,loss of smell,headache,dry cough",High
COVID-19,"loss of smell,sore throat,dry cough,fever",High
COVID-19,"loss of smell,dry cough,shortness of breath,fever",High
COVID-19,"headache,fatigue,shortness of breath,sore throat,loss of smell,dry cough,fever,loss of taste",High
COVID-19,"headache,loss of taste,dry cough,fever,loss of smell",High
COVID-19,"fatigue,dry cough,fever,loss of smell",High
COVID-19,"headache,sore throat,loss of taste,shortness of breath,dry cough,fever,loss of smell",High
COVID-19,"loss of smell,sore throat,fever,dry cough,shortness of breath",High
COVID-19,"loss of taste,headache,shortness of breath,loss of smell,fatigue,dry cough,fever",High
COVID-19,"loss of taste,fatigue,sore throat,fever,dry cough,loss of smell,headache,shortness of breath",High
COVID-19,"headache,fatigue,sore throat,shortness of breath,fever,loss of taste,dry cough,loss of smell",High
COVID-19,"sore throat,dry cough,shortness of breath,headache,fatigue,loss of taste,loss of smell,fever",High
COVID-19,"loss of smell,dry cough,shortness of breath,sore throat,fatigue,fever,loss of taste",High
COVID-19,"headache,fever,loss of smell,dry cough,loss of taste,shortness of breath",High
COVID-19,"loss of smell,loss of taste,fever,dry cough,fatigue",High
COVID-19,"fatigue,dry cough,fever,loss of smell",High
COVID-19,"loss of taste,loss of smell,fever,dry cough,shortness of breath,sore throat",High
COVID-19,"fever,loss of smell,headache,dry cough",High
COVID-19,"dry cough,fever,fatigue,loss of smell,shortness of breath",High
COVID-19,"sore throat,loss of taste,dry cough,headache,fever,shortness of breath,loss of smell",High
COVID-19,"loss of smell,fever,headache,shortness of breath,dry cough,loss of taste,sore throat,fatigue",High
COVID-19,"headache,sore throat,loss of taste,fever,loss of smell,shortness of breath,dry cough",High
COVID-19,"fatigue,loss of smell,headache,loss of taste,dry cough,shortness of breath,sore throat,fever",High
COVID-19,"dry cough,headache,fever,loss of smell,sore throat,fatigue,shortness of breath",High
COVID-19,"fever,sore throat,shortness of breath,loss of smell,dry cough",High
COVID-19,"loss of taste,headache,shortness of breath,sore throat,loss of smell,dry cough,fever,fatigue",High
COVID-19,"loss of smell,fatigue,loss of taste,shortness of breath,dry cough,fever,sore throat,headache",High
COVID-19,"fatigue,sore throat,loss of taste,fever,loss of smell,headache,shortness of breath,dry cough",High
COVID-19,"loss of taste,loss of smell,fever,shortness of breath,dry cough",High
COVID-19,"fever,dry cough,sore throat,headache,fatigue,loss of taste,shortness of breath,loss of smell",High
COVID-19,"sore throat,loss of smell,fatigue,fever,loss of taste,headache,dry cough",High
COVID-19,"loss of smell,dry cough,fatigue,shortness of breath,fever,sore throat",High
COVID-19,"fever,sore throat,loss of smell,dry cough",High
COVID-19,"loss of smell,dry cough,loss of taste,fever,fatigue,sore throat",High
COVID-19,"dry cough,sore throat,loss of smell,fever",High
Malaria,"high fever,sweating,chills,nausea,headache,body ache,fatigue",High
Malaria,"nausea,sweating,body ache,vomiting,high fever,headache,chills",High
Malaria,"vomiting,chills,fatigue,nausea,headache,sweating,high fever,body ache",High
Malaria,"nausea,fatigue,body ache,headache,sweating,high fever,chills,vomiting",High
Malaria,"sweating,chills,vomiting,high fever",High
Malaria,"high fever,sweating,vomiting,chills",High
Malaria,"high fever,headache,body ache,sweating,nausea,fatigue,chills",High
Malaria,"high fever,fatigue,chills,vomiting,body ache,headache,nausea,sweating",High
Malaria,"nausea,sweating,chills,high fever",High
Malaria,"headache,vomiting,high fever,body ache,nausea,chills,fatigue,sweating",High
Malaria,"chills,high fever,sweating,nausea",High
Malaria,"chills,sweating,body ache,high fever,vomiting,fatigue",High
Malaria,"headache,nausea,high fever,fatigue,chills,sweating",High
Malaria,"nausea,chills,high fever,fatigue,vomiting,sweating,body ache",High
Malaria,"high fever,fatigue,sweating,chills",High
Malaria,"body ache,headache,fatigue,sweating,high fever,vomiting,chills",High
Malaria,"high fever,headache,body ache,fatigue,chills,nausea,sweating",High
Malaria,"headache,vomiting,sweating,nausea,chills,fatigue,body ache,high fever",High
Malaria,"body ache,chills,sweating,high fever",High
Malaria,"high fever,fatigue,chills,sweating",High
Malaria,"sweating,chills,high fever,vomiting,body ache,headache",High
Malaria,"body ache,chills,high fever,headache,sweating",High
Malaria,"chills,high fever,body ache,nausea,sweating",High
Malaria,"chills,sweating,headache,fatigue,high fever,nausea,body ache,vomiting",High
Malaria,"body ache,sweating,high fever,vomiting,fatigue,chills",High
Malaria,"fatigue,chills,vomiting,body ache,high fever,sweating",High
Malaria,"headache,high fever,sweating,chills",High
Malaria,"chills,sweating,vomiting,body ache,fatigue,high fever",High
Malaria,"headache,chills,sweating,high fever",High
Malaria,"chills,vomiting,body ache,nausea,high fever,sweating,headache",High
Malaria,"headache,high fever,fatigue,nausea,chills,body ache,sweating,vomiting",High
Malaria,"high fever,nausea,vomiting,sweating,chills",High
Malaria,"vomiting,chills,fatigue,sweating,nausea,body ache,headache,high fever",High
Malaria,"headache,nausea,sweating,body ache,vomiting,chills,high fever,fatigue",High
Malaria,"high fever,chills,body ache,sweating,headache,fatigue",High
Malaria,"fatigue,high fever,chills,sweating",High
Malaria,"chills,nausea,fatigue,high fever,vomiting,body ache,sweating",High
Malaria,"chills,sweating,headache,body ache,nausea,vomiting,fatigue,high fever",High
Malaria,"sweating,high fever,chills,vomiting",High
Malaria,"headache,chills,vomiting,fatigue,nausea,high fever,body ache,sweating",High
Malaria,"high fever,nausea,body ache,sweating,fatigue,chills",High
Malaria,"chills,high fever,vomiting,nausea,sweating,headache",High
Malaria,"headache,high fever,sweating,chills",High
Malaria,"nausea,chills,high fever,sweating",High
Malaria,"body ache,high fever,vomiting,fatigue,headache,sweating,chills",High
Malaria,"headache,vomiting,high fever,sweating,fatigue,chills",High
Malaria,"body ache,high fever,sweating,chills,vomiting,nausea",High
Malaria,"headache,high fever,chills,nausea,body ache,sweating",High
Malaria,"sweating,chills,nausea,fatigue,high fever",High
Malaria,"vomiting,nausea,high fever,chills,body ache,sweating,headache",High
Dengue,"muscle pain,skin rash,high fever,vomiting,joint pain",High
Dengue,"skin rash,headache,joint pain,high fever",High
Dengue,"skin rash,headache,high fever,joint pain",High
Dengue,"fatigue,vomiting,skin rash,muscle pain,high fever,headache,nausea,joint pain",High
Dengue,"joint pain,vomiting,headache,high fever,skin rash,muscle pain,fatigue,nausea",High
Dengue,"nausea,high fever,skin rash,joint pain,headache",High
Dengue,"high fever,nausea,joint pain,headache,muscle pain,vomiting,skin rash",High
Dengue,"high fever,skin rash,muscle pain,joint pain",High
Dengue,"high fever,nausea,joint pain,skin rash",High
Dengue,"joint pain,headache,fatigue,skin rash,vomiting,high fever,nausea",High
Dengue,"fatigue,nausea,high fever,joint pain,headache,muscle pain,skin rash,vomiting",High
Dengue,"muscle pain,nausea,headache,skin rash,vomiting,joint pain,high fever",High
Dengue,"vomiting,skin rash,high fever,joint pain",High
Dengue,"joint pain,muscle pain,nausea,skin rash,vomiting,high fever",High
Dengue,"headache,joint pain,high fever,vomiting,muscle pain,fatigue,skin rash,nausea",High
Dengue,"fatigue,high fever,skin rash,joint pain",High
Dengue,"skin rash,muscle pain,joint pain,nausea,high fever,fatigue",High
Dengue,"nausea,joint pain,skin rash,high fever",High
Dengue,"skin rash,headache,muscle pain,high fever,joint pain,nausea,fatigue",High
Dengue,"high fever,headache,skin rash,joint pain",High
Dengue,"skin rash,headache,vomiting,nausea,joint pain,fatigue,high fever",High
Dengue,"fatigue,high fever,skin rash,muscle pain,joint pain,nausea,vomiting,headache",High
Dengue,"vomiting,high fever,fatigue,skin rash,headache,joint pain,muscle pain",High
Dengue,"nausea,joint pain,headache,skin rash,high fever",High
Dengue,"skin rash,fatigue,joint pain,muscle pain,nausea,headache,high fever",High
Dengue,"joint pain,muscle pain,headache,skin rash,nausea,high fever",High
Dengue,"joint pain,skin rash,fatigue,high fever",High
Dengue,"high fever,muscle pain,skin rash,joint pain",High
Dengue,"skin rash,high fever,vomiting,fatigue,muscle pain,joint pain,headache",High
Dengue,"vomiting,muscle pain,high fever,skin rash,fatigue,nausea,joint pain",High
Dengue,"headache,vomiting,muscle pain,fatigue,joint pain,nausea,skin rash,high fever",High
Dengue,"vomiting,high fever,joint pain,skin rash",High
Dengue,"nausea,vomiting,joint pain,high fever,skin rash",High
Dengue,"nausea,high fever,headache,fatigue,skin rash,muscle pain,joint pain",High
Dengue,"headache,fatigue,high fever,skin rash,joint pain,nausea,muscle pain,vomiting",High
Dengue,"headache,fatigue,muscle pain,skin rash,joint pain,high fever",High
Dengue,"muscle pain,headache,high fever,nausea,vomiting,skin rash,fatigue,joint pain",High
Dengue,"skin rash,high fever,nausea,vomiting,joint pain",High
Dengue,"skin rash,fatigue,vomiting,joint pain,high fever",High
Dengue,"nausea,high fever,headache,skin rash,joint pain,fatigue",High
Dengue,"fatigue,skin rash,high fever,joint pain,nausea,muscle pain,headache",High
Dengue,"skin rash,high fever,headache,nausea,joint pain,fatigue",High
Dengue,"fatigue,high fever,skin rash,joint pain,nausea",High
Dengue,"skin rash,joint pain,high fever,fatigue",High
Dengue,"vomiting,fatigue,joint pain,skin rash,high fever,muscle pain",High
Dengue,"skin rash,joint pain,high fever,muscle pain,headache",High
Dengue,"vomiting,headache,joint pain,skin rash,high fever",High
Dengue,"joint pain,high fever,skin rash,fatigue",High
Dengue,"headache,skin rash,nausea,fatigue,high fever,joint pain,muscle pain",High
Dengue,"headache,skin rash,muscle pain,joint pain,vomiting,high fever",High
Typhoid,"weakness,prolonged fever,fatigue,constipation,abdominal pain",High
Typhoid,"loss of appetite,abdominal pain,prolonged fever,constipation,weakness,headache",High
Typhoid,"fatigue,weakness,abdominal pain,prolonged fever",High
Typhoid,"abdominal pain,prolonged fever,constipation,fatigue,weakness",High
Typhoid,"loss of appetite,prolonged fever,abdominal pain,weakness,headache,constipation",High
Typhoid,"abdominal pain,prolonged fever,weakness,headache",High
Typhoid,"prolonged fever,weakness,constipation,abdominal pain",High
Typhoid,"fatigue,abdominal pain,loss of appetite,constipation,weakness,headache,prolonged fever",High
Typhoid,"loss of appetite,abdominal pain,headache,constipation,weakness,prolonged fever",High
Typhoid,"abdominal pain,constipation,prolonged fever,fatigue,weakness",High
Typhoid,"prolonged fever,fatigue,headache,loss of appetite,weakness,abdominal pain,constipation",High
Typhoid,"loss of appetite,constipation,weakness,prolonged fever,fatigue,headache,abdominal pain",High
Typhoid,"weakness,prolonged fever,abdominal pain,fatigue",High
Typhoid,"fatigue,loss of appetite,prolonged fever,constipation,abdominal pain,weakness",High
Typhoid,"prolonged fever,abdominal pain,loss of appetite,constipation,fatigue,weakness,headache",High
Typhoid,"weakness,headache,abdominal pain,prolonged fever",High
Typhoid,"fatigue,weakness,prolonged fever,abdominal pain,headache,constipation",High
Typhoid,"loss of appetite,constipation,fatigue,weakness,headache,abdominal pain,prolonged fever",High
Typhoid,"weakness,constipation,prolonged fever,loss of appetite,abdominal pain,fatigue",High
Typhoid,"abdominal pain,weakness,constipation,loss of appetite,prolonged fever,fatigue,headache",High
Typhoid,"prolonged fever,abdominal pain,fatigue,weakness",High
Typhoid,"headache,prolonged fever,abdominal pain,weakness,loss of appetite,fatigue",High
Typhoid,"prolonged fever,weakness,fatigue,headache,abdominal pain",High
Typhoid,"weakness,loss of appetite,abdominal pain,fatigue,prolonged fever",High
Typhoid,"headache,abdominal pain,loss of appetite,prolonged fever,fatigue,constipation,weakness",High
Typhoid,"abdominal pain,loss of appetite,fatigue,prolonged fever,weakness,constipation",High
Typhoid,"headache,prolonged fever,weakness,abdominal pain,constipation,loss of appetite,fatigue",High
Typhoid,"loss of appetite,abdominal pain,weakness,headache,fatigue,prolonged fever,constipation",High
Typhoid,"loss of appetite,weakness,headache,fatigue,abdominal pain,prolonged fever,constipation",High
Typhoid,"loss of appetite,abdominal pain,prolonged fever,weakness,constipation",High
Typhoid,"fatigue,prolonged fever,constipation,headache,abdominal pain,weakness",High
Typhoid,"prolonged fever,abdominal pain,weakness,fatigue,constipation",High
Typhoid,"fatigue,headache,constipation,prolonged fever,loss of appetite,weakness,abdominal pain",High
Typhoid,"abdominal pain,loss of appetite,headache,weakness,prolonged fever,constipation,fatigue",High
Typhoid,"fatigue,weakness,abdominal pain,headache,prolonged fever",High
Typhoid,"fatigue,abdominal pain,weakness,prolonged fever,headache",High
Typhoid,"prolonged fever,headache,loss of appetite,weakness,constipation,abdominal pain",High
Typhoid,"headache,prolonged fever,constipation,abdominal pain,weakness",High
Typhoid,"weakness,prolonged fever,abdominal pain,fatigue,loss of appetite,constipation",High
Typhoid,"prolonged fever,headache,abdominal pain,constipation,weakness",High
Typhoid,"headache,prolonged fever,abdominal pain,weakness,loss of appetite",High
Typhoid,"abdominal pain,weakness,loss of appetite,constipation,prolonged fever,fatigue,headache",High
Typhoid,"loss of appetite,abdominal pain,prolonged fever,headache,constipation,weakness",High
Typhoid,"constipation,loss of appetite,weakness,prolonged fever,abdominal pain,fatigue,headache",High
Typhoid,"fatigue,prolonged fever,abdominal pain,constipation,weakness,loss of appetite",High
Typhoid,"constipation,abdominal pain,weakness,prolonged fever",High
Typhoid,"prolonged fever,abdominal pain,fatigue,weakness,loss of appetite,constipation",High
Typhoid,"headache,prolonged fever,loss of appetite,weakness,abdominal pain",High
Typhoid,"constipation,fatigue,headache,loss of appetite,prolonged fever,abdominal pain,weakness",High
Typhoid,"loss of appetite,abdominal pain,weakness,prolonged fever",High
Tuberculosis,"fatigue,weight loss,persistent cough,night sweats,chest pain,loss of appetite",High
Tuberculosis,"persistent cough,night sweats,chest pain,weight loss",High
Tuberculosis,"weight loss,night sweats,fatigue,persistent cough,fever,loss of appetite",High
Tuberculosis,"weight loss,night sweats,fatigue,persistent cough",High
Tuberculosis,"fatigue,persistent cough,loss of appetite,fever,weight loss,night sweats",High
Tuberculosis,"weight loss,fever,loss of appetite,night sweats,persistent cough",High
Tuberculosis,"chest pain,fatigue,fever,loss of appetite,night sweats,weight loss,persistent cough",High
Tuberculosis,"fatigue,weight loss,chest pain,fever,night sweats,persistent cough,loss of appetite",High
Tuberculosis,"night sweats,chest pain,fatigue,weight loss,persistent cough,fever",High
Tuberculosis,"night sweats,persistent cough,fever,weight loss,fatigue",High
Tuberculosis,"persistent cough,night sweats,fever,fatigue,weight loss,loss of appetite",High
Tuberculosis,"night sweats,chest pain,persistent cough,weight loss,fatigue,fever",High
Tuberculosis,"persistent cough,loss of appetite,weight loss,night sweats,fatigue",High
Tuberculosis,"loss of appetite,fever,persistent cough,night sweats,fatigue,weight loss",High
Tuberculosis,"night sweats,weight loss,persistent cough,chest pain",High
Tuberculosis,"weight loss,loss of appetite,fever,night sweats,persistent cough",High
Tuberculosis,"persistent cough,night sweats,weight loss,chest pain",High
Tuberculosis,"loss of appetite,fatigue,fever,persistent cough,weight loss,night sweats",High
Tuberculosis,"night sweats,weight loss,persistent cough,fatigue",High
Tuberculosis,"weight loss,fever,fatigue,persistent cough,night sweats",High
Tuberculosis,"loss of appetite,persistent cough,weight loss,night sweats,fever",High
Tuberculosis,"fatigue,night sweats,persistent cough,weight loss",High
Tuberculosis,"fatigue,night sweats,fever,loss of appetite,chest pain,weight loss,persistent cough",High
Tuberculosis,"weight loss,chest pain,night sweats,fever,persistent cough",High
Tuberculosis,"night sweats,weight loss,fever,persistent cough",High
Tuberculosis,"loss of appetite,night sweats,chest pain,fatigue,persistent cough,weight loss,fever",High
Tuberculosis,"night sweats,persistent cough,weight loss,fever,chest pain",High
Tuberculosis,"fever,loss of appetite,fatigue,night sweats,persistent cough,chest pain,weight loss",High
Tuberculosis,"night sweats,chest pain,weight loss,persistent cough",High
Tuberculosis,"chest pain,weight loss,persistent cough,loss of appetite,fatigue,night sweats,fever",High
Tuberculosis,"loss of appetite,fatigue,chest pain,persistent cough,weight loss,night sweats",High
Tuberculosis,"loss of appetite,fatigue,persistent cough,weight loss,night sweats,chest pain,fever",High
Tuberculosis,"persistent cough,chest pain,night sweats,weight loss",High
Tuberculosis,"fatigue,chest pain,night sweats,persistent cough,loss of appetite,fever,weight loss",High
Tuberculosis,"night sweats,weight loss,persistent cough,fatigue,fever,loss of appetite",High
Tuberculosis,"chest pain,weight loss,night sweats,persistent cough",High
Tuberculosis,"chest pain,loss of appetite,fatigue,persistent cough,night sweats,fever,weight loss",High
Tuberculosis,"fever,chest pain,loss of appetite,night sweats,persistent cough,weight loss",High
Tuberculosis,"night sweats,fever,weight loss,persistent cough,fatigue",High
Tuberculosis,"chest pain,night sweats,persistent cough,weight loss",High
Tuberculosis,"weight loss,chest pain,fever,fatigue,night sweats,persistent cough,loss of appetite",High
Tuberculosis,"persistent cough,weight loss,night sweats,fever,fatigue,chest pain,loss of appetite",High
Tuberculosis,"night sweats,chest pain,weight loss,loss of appetite,persistent cough,fatigue",High
Tuberculosis,"chest pain,weight loss,persistent cough,loss of appetite,fatigue,night sweats,fever",High
Tuberculosis,"weight loss,persistent cough,night sweats,chest pain,loss of appetite,fever",High
Tuberculosis,"night sweats,persistent cough,weight loss,fatigue,fever,loss of appetite",High
Tuberculosis,"weight loss,persistent cough,night sweats,fever",High
Tuberculosis,"loss of appetite,fever,weight loss,night sweats,chest pain,persistent cough,fatigue",High
Tuberculosis,"night sweats,persistent cough,weight loss,fatigue",High
Tuberculosis,"weight loss,loss of appetite,chest pain,night sweats,fever,persistent cough",High
Pneumonia,"shortness of breath,chills,fever,fatigue,difficulty breathing,chest pain,cough",High
Pneumonia,"cough,fever,chest pain,difficulty breathing,fatigue",High
Pneumonia,"chest pain,fatigue,cough,fever",High
Pneumonia,"chest pain,chills,shortness of breath,fever,fatigue,cough",High
Pneumonia,"shortness of breath,chills,cough,fatigue,chest pain,difficulty breathing,fever",High
Pneumonia,"shortness of breath,fever,cough,chest pain",High
Pneumonia,"cough,fever,fatigue,chest pain",High
Pneumonia,"fever,cough,difficulty breathing,fatigue,shortness of breath,chest pain",High
Pneumonia,"fever,chills,difficulty breathing,cough,chest pain,fatigue",High
Pneumonia,"fatigue,fever,chest pain,cough,shortness of breath,chills",High
Pneumonia,"fatigue,cough,fever,chest pain,chills,shortness of breath,difficulty breathing",High
Pneumonia,"chest pain,fever,cough,chills,difficulty breathing,fatigue",High
Pneumonia,"cough,fever,chills,chest pain",High
Pneumonia,"difficulty breathing,chills,cough,chest pain,fever",High
Pneumonia,"shortness of breath,cough,fever,chest pain",High
Pneumonia,"difficulty breathing,cough,chest pain,fever",High
Pneumonia,"fatigue,chills,shortness of breath,difficulty breathing,fever,chest pain,cough",High
Pneumonia,"chest pain,fever,cough,chills",High
Pneumonia,"shortness of breath,fever,chest pain,difficulty breathing,cough,fatigue",High
Pneumonia,"difficulty breathing,cough,shortness of breath,fatigue,fever,chest pain",High
Pneumonia,"cough,chest pain,chills,difficulty breathing,shortness of breath,fever,fatigue",High
Pneumonia,"chills,cough,difficulty breathing,chest pain,fever,fatigue",High
Pneumonia,"chest pain,fever,chills,fatigue,shortness of breath,cough,difficulty breathing",High
Pneumonia,"cough,fatigue,shortness of breath,chills,chest pain,fever",High
Pneumonia,"fever,shortness of breath,chest pain,cough",High
Pneumonia,"fever,fatigue,shortness of breath,difficulty breathing,cough,chest pain,chills",High
Pneumonia,"shortness of breath,chills,cough,difficulty breathing,fatigue,fever,chest pain",High
Pneumonia,"fever,chills,cough,chest pain",High
Pneumonia,"chest pain,cough,fever,fatigue",High
Pneumonia,"cough,fatigue,fever,chest pain",High
