Disease,Department,Severity,CoreSymptoms,OptionalSymptoms
Pancreatitis,Gastroenterology,High,"abdominal pain,vomiting","fever,nausea,bloating"
Liver Cirrhosis,Gastroenterology,High,"jaundice,fatigue","abdominal pain,swelling"
Crohn's Disease,Gastroenterology,High,"abdominal pain,diarrhea","weight loss,fatigue"
Ulcerative Colitis,Gastroenterology,High,"bloody stool,abdominal pain","diarrhea,fatigue"
Psoriasis,Dermatology,Medium,"skin rash,itching","redness,dry skin,scaling"
Eczema,Dermatology,Medium,"itching,redness","dry skin,skin rash"
Acne,Dermatology,Low,"skin rash","redness,swelling"
Fungal Infection,Dermatology,Medium,"itching,redness","skin rash,blisters"
Cellulitis,Dermatology,High,"redness,swelling","fever,skin rash"
Scabies,Dermatology,Medium,"itching,skin rash","redness,blisters"
Vitiligo,Dermatology,Low,"skin rash","dry skin"
Rosacea,Dermatology,Low,"redness","skin rash,burning sensation"
Shingles,Dermatology,High,"blisters,skin rash","pain,fever"
Impetigo,Dermatology,Medium,"skin rash,blisters","itching"

Conjunctivitis,Ophthalmology,Low,"eye redness,watery eyes","eye pain,itching"
Glaucoma,Ophthalmology,Critical,"eye pain,blurred vision","headache,nausea"
Cataract,Ophthalmology,Medium,"blurred vision","light sensitivity"
Dry Eye Syndrome,Ophthalmology,Low,"dry eyes","eye redness"
Retinal Detachment,Ophthalmology,Critical,"loss of vision","flashes,floaters"
Macular Degeneration,Ophthalmology,High,"blurred vision","loss of vision"
Keratitis,Ophthalmology,High,"eye pain,eye redness","watery eyes"
Uveitis,Ophthalmology,High,"eye pain","blurred vision,light sensitivity"
Color Blindness,Ophthalmology,Low,"blurred vision","difficulty seeing colors"
Stye,Ophthalmology,Low,"eye redness","swelling,eye pain"

Otitis Media,ENT,Medium,"ear pain","fever,hearing loss"
Tonsillitis,ENT,Medium,"sore throat,fever","difficulty swallowing"
Laryngitis,ENT,Low,"loss of voice","sore throat,cough"
Pharyngitis,ENT,Medium,"sore throat","fever,difficulty swallowing"
Hearing Loss,ENT,Medium,"hearing loss","ringing in ears"
